iter	Logloss
0	0.6827201214
1	0.6721037434
2	0.662027272
3	0.6525707982
4	0.6435999879
5	0.6353569259
6	0.6271917967
7	0.6190456895
8	0.6116771478
9	0.6040148774
10	0.5971485859
11	0.5907199694
12	0.5848690231
13	0.5794080909
14	0.5737442642
15	0.5692503178
16	0.5640256574
17	0.559790818
18	0.5550246361
19	0.5507903653
20	0.5463250029
21	0.5423198069
22	0.5383795862
23	0.534847632
24	0.5312296139
25	0.5281289682
26	0.5249432895
27	0.522073913
28	0.5190558582
29	0.5150563053
30	0.5122359075
31	0.5097901826
32	0.5075379764
33	0.505136565
34	0.5025261681
35	0.4999677421
36	0.4979989816
37	0.4962981562
38	0.4944473909
39	0.4924552257
40	0.4905841013
41	0.489054701
42	0.4870833508
43	0.4854880075
44	0.4831575126
45	0.4815893867
46	0.4797177699
47	0.4781716849
48	0.4769360597
49	0.4752426935
50	0.4736716082
51	0.472438574
52	0.470883755
53	0.4692863908
54	0.468271483
55	0.4670437134
56	0.4658729732
57	0.4645416395
58	0.4626599616
59	0.4614172413
60	0.4597376588
61	0.4588966833
62	0.4579582864
63	0.457057623
64	0.4558334775
65	0.4544676052
66	0.4534181148
67	0.4525762346
68	0.4517728918
69	0.4506451182
70	0.4495394576
71	0.4479711864
72	0.446238104
73	0.445355022
74	0.444517433
75	0.4438610415
76	0.4427637889
77	0.4419491978
78	0.4411220377
79	0.439813901
80	0.439108863
81	0.4377607565
82	0.436685384
83	0.4355484699
84	0.4344998137
85	0.4338032972
86	0.4331321526
87	0.4325385472
88	0.4318155257
89	0.4311762441
90	0.429972471
91	0.4295263582
92	0.4286551861
93	0.4279619331
94	0.4272432219
95	0.4266954664
96	0.4260289675
97	0.4255360873
98	0.4248245044
99	0.4232615645
100	0.4226277352
101	0.4219462397
102	0.4212372068
103	0.4206473473
104	0.4201925035
105	0.4198105395
106	0.4191807109
107	0.4187528526
108	0.4182561271
109	0.4177939506
110	0.4173203637
111	0.4170383998
112	0.4160641254
113	0.4151165637
114	0.4146373417
115	0.4140226531
116	0.4136489532
117	0.4130388285
118	0.4123113023
119	0.4117253982
120	0.411339071
121	0.4108286537
122	0.410524752
123	0.4098899806
124	0.4090232383
125	0.4085078609
126	0.4077969287
127	0.4071416208
128	0.4068017083
129	0.4064696392
130	0.4059821358
131	0.4055422373
132	0.4051509278
133	0.4045986913
134	0.4042378722
135	0.4038267446
136	0.4032750082
137	0.4028914786
138	0.4025416865
139	0.4016374336
140	0.4012746944
141	0.4008157917
142	0.4003404508
143	0.3998600182
144	0.3994198489
145	0.3991171336
146	0.3987166803
147	0.3983252023
148	0.3978928721
149	0.3972901237
150	0.3969428549
151	0.3966208495
152	0.3964127964
153	0.3960719861
154	0.3957618389
155	0.3951437922
156	0.3946505727
157	0.3943021559
158	0.3940140006
159	0.3936165116
160	0.3933499749
161	0.3931627982
162	0.3928644435
163	0.3924925566
164	0.3920779131
165	0.3914608051
166	0.390915081
167	0.3907265421
168	0.3904080263
169	0.3898487709
170	0.3895369732
171	0.3892118298
172	0.3889105156
173	0.3884655605
174	0.3875525153
175	0.3869281519
176	0.3864792306
177	0.3861443815
178	0.385993155
179	0.3856940306
180	0.3853421252
181	0.3851283517
182	0.384640171
183	0.3843290752
184	0.3835730493
185	0.3832009622
186	0.3829656857
187	0.3821345539
188	0.3818448949
189	0.3815159504
190	0.3812744196
191	0.3809497293
192	0.3806344615
193	0.3799821101
194	0.3796747677
195	0.3793772348
196	0.3792312112
197	0.379028641
198	0.3788431619
199	0.3786452161
200	0.3782760982
201	0.3779833857
202	0.3778305902
203	0.3776916776
204	0.3774353642
205	0.3771664218
206	0.3764707636
207	0.3760346044
208	0.3758578601
209	0.3756399581
210	0.3754006251
211	0.3752558965
212	0.3750007283
213	0.3747627166
214	0.3744265311
215	0.3742337126
216	0.3740891099
217	0.3738776906
218	0.3736410224
219	0.373412206
220	0.3731058346
221	0.3728600476
222	0.3726531267
223	0.3723877684
224	0.3721398756
225	0.3719071222
226	0.3716225471
227	0.3714297416
228	0.3712273995
229	0.3710506823
230	0.3705463931
231	0.3700810548
232	0.3695782284
233	0.3693961324
234	0.3691234654
235	0.3689366099
236	0.368711093
237	0.3685048241
238	0.3683945713
239	0.3682042516
240	0.36808703
241	0.3677661649
242	0.3675226644
243	0.3673508142
244	0.3671429278
245	0.3668781567
246	0.3666950398
247	0.3664258552
248	0.3661685073
249	0.365866436
250	0.3657556466
251	0.3655444698
252	0.36532002
253	0.3651057861
254	0.3647565936
255	0.3642901117
256	0.3641297684
257	0.3639506094
258	0.3636474501
259	0.3635169511
260	0.3633802653
261	0.3631474499
262	0.3630187978
263	0.3628089477
264	0.3625898734
265	0.3623952337
266	0.3621825203
267	0.3620267912
268	0.3618957177
269	0.3616993014
270	0.3614415434
271	0.3613196025
272	0.3611419743
273	0.3609946476
274	0.3608568426
275	0.3604983168
276	0.360348354
277	0.3601196977
278	0.3600039616
279	0.3597850552
280	0.3596026328
281	0.3594322961
282	0.3592121129
283	0.3589812995
284	0.358841671
285	0.3585957621
286	0.3583475429
287	0.3582162386
288	0.3579750642
289	0.3577958039
290	0.3576475531
291	0.3574369507
292	0.3571943676
293	0.3570587574
294	0.356882084
295	0.3567620039
296	0.3565899927
297	0.3565041429
298	0.3563050354
299	0.3561253843
300	0.3560367717
301	0.3558258752
302	0.3555986815
303	0.3554354103
304	0.3552466121
305	0.3550012927
306	0.3547697755
307	0.3546195476
308	0.3544889142
309	0.3542777503
310	0.3540993757
311	0.3539193622
312	0.3537455061
313	0.3535207901
314	0.3533671208
315	0.3532776758
316	0.3530550659
317	0.3528557619
318	0.3527259278
319	0.3525812984
320	0.3524115662
321	0.3522533216
322	0.3521605695
323	0.3519061258
324	0.3516668702
325	0.3514950503
326	0.3513378707
327	0.3510696133
328	0.3509090701
329	0.350781119
330	0.3506280294
331	0.3504346838
332	0.3502510052
333	0.3500864141
334	0.3499882901
335	0.3497462629
336	0.3495724952
337	0.3494586081
338	0.3491679613
339	0.3489532782
340	0.3488132627
341	0.3485683596
342	0.3484180248
343	0.3483592541
344	0.3481559532
345	0.3480805224
346	0.3479681802
347	0.3478433662
348	0.3476885056
349	0.3474748507
350	0.3473568684
351	0.3471246862
352	0.3469981766
353	0.3467044363
354	0.3466170587
355	0.3464070135
356	0.3462394162
357	0.3461014644
358	0.3459636648
359	0.3458227684
360	0.3455873487
361	0.3454652198
362	0.3453382615
363	0.3452380135
364	0.3451247748
365	0.3450152738
366	0.3448820955
367	0.3446980947
368	0.3445482506
369	0.3443857881
