iter	Passed	Remaining
0	23	23406
1	27	13608
2	30	10250
3	33	8406
4	36	7225
5	39	6473
6	41	5903
7	46	5714
8	49	5420
9	51	5120
10	54	4871
11	57	4702
12	61	4663
13	64	4568
14	67	4417
15	69	4285
16	72	4211
17	76	4174
18	79	4126
19	82	4041
20	85	3963
21	87	3910
22	90	3863
23	95	3874
24	98	3829
25	100	3774
26	103	3728
27	106	3693
28	111	3720
29	114	3686
30	116	3644
31	119	3602
32	122	3584
33	126	3599
34	130	3586
35	132	3550
36	134	3513
37	138	3494
38	141	3495
39	145	3493
40	148	3462
41	150	3432
42	153	3408
43	156	3402
44	160	3401
45	163	3387
46	166	3370
47	169	3355
48	172	3340
49	176	3352
50	178	3330
51	181	3309
52	184	3290
53	186	3272
54	190	3280
55	194	3272
56	196	3252
57	199	3232
58	201	3216
59	205	3211
60	209	3219
61	211	3201
62	214	3184
63	216	3171
64	219	3155
65	223	3165
66	226	3158
67	229	3142
68	231	3127
69	234	3117
70	238	3116
71	241	3117
72	244	3108
73	247	3098
74	250	3088
75	253	3082
76	257	3089
77	260	3076
78	262	3063
79	265	3051
80	267	3039
81	271	3040
82	275	3041
83	277	3029
84	280	3017
85	283	3009
86	286	3007
87	290	3005
88	292	2995
89	295	2984
90	297	2973
91	300	2963
92	304	2965
93	307	2965
94	310	2956
95	312	2945
96	315	2938
97	318	2928
98	322	2934
99	325	2925
100	327	2916
101	330	2906
102	332	2899
103	337	2905
104	340	2903
105	343	2897
106	346	2888
107	348	2881
108	352	2883
109	356	2881
110	359	2875
111	361	2869
112	364	2862
113	367	2856
114	371	2859
115	374	2851
116	376	2842
117	379	2833
118	381	2827
119	385	2829
120	389	2828
121	392	2822
122	394	2815
123	397	2810
124	401	2810
125	405	2809
126	407	2802
127	410	2795
128	413	2788
129	415	2780
130	419	2785
131	423	2781
132	425	2775
133	428	2770
134	431	2763
135	434	2762
136	438	2762
137	441	2757
138	444	2751
139	447	2746
140	451	2747
141	454	2746
142	457	2738
143	459	2731
144	462	2726
145	464	2718
146	469	2722
147	471	2716
148	474	2709
149	476	2702
150	479	2698
151	483	2698
152	487	2697
153	489	2691
154	492	2684
155	495	2678
156	497	2672
157	501	2673
158	505	2671
159	507	2665
160	510	2658
161	513	2653
162	516	2654
163	520	2653
164	523	2648
165	525	2640
166	528	2637
167	532	2636
168	535	2635
169	538	2628
170	540	2622
171	543	2617
172	546	2613
173	551	2617
174	554	2611
175	556	2605
176	559	2599
177	561	2594
178	565	2591
179	567	2585
180	570	2580
181	573	2578
182	576	2573
183	578	2567
184	582	2566
185	586	2565
186	589	2560
187	591	2556
188	594	2552
189	598	2553
190	602	2550
191	604	2544
192	607	2538
193	609	2533
194	612	2529
195	616	2528
196	619	2523
197	621	2517
198	624	2511
199	626	2507
200	630	2506
201	634	2506
202	637	2501
203	640	2497
204	643	2493
205	646	2490
206	650	2490
207	652	2485
208	655	2480
209	658	2475
210	660	2471
211	665	2472
212	668	2469
213	671	2465
214	674	2461
215	677	2457
216	681	2460
217	684	2457
218	687	2452
219	690	2446
220	692	2441
221	696	2441
222	700	2440
223	702	2434
224	705	2429
225	708	2424
226	710	2420
227	715	2421
228	717	2417
229	720	2412
230	723	2409
231	726	2403
232	730	2404
233	733	2401
234	736	2397
235	738	2392
236	741	2387
237	745	2386
238	749	2384
239	751	2379
240	754	2374
241	756	2370
242	759	2365
243	762	2363
244	766	2360
245	768	2355
246	771	2350
247	773	2345
248	776	2342
249	780	2342
250	783	2337
251	785	2332
252	788	2327
253	790	2323
254	794	2321
255	798	2321
256	801	2317
257	804	2313
258	807	2309
259	827	2354
260	831	2352
261	833	2347
262	836	2342
263	839	2339
264	841	2334
265	846	2336
266	849	2331
267	852	2328
268	855	2324
269	857	2319
270	862	2319
271	864	2314
272	867	2310
273	870	2305
274	872	2300
275	876	2299
276	880	2296
277	882	2291
278	885	2287
279	887	2283
280	890	2278
281	895	2278
282	898	2275
283	900	2271
284	903	2267
285	906	2263
286	910	2262
287	914	2260
288	916	2255
289	919	2251
290	922	2246
291	926	2245
292	928	2240
293	932	2238
294	934	2233
295	937	2230
296	940	2226
297	944	2225
298	947	2221
299	950	2216
300	952	2212
301	956	2209
302	960	2209
303	963	2206
304	966	2201
305	968	2197
306	971	2193
307	976	2193
308	979	2189
309	981	2185
310	984	2180
311	986	2176
312	990	2174
313	994	2172
314	997	2168
315	1000	2164
316	1003	2162
317	1007	2160
318	1010	2157
319	1013	2154
320	1016	2149
321	1019	2145
322	1022	2142
323	1025	2140
324	1028	2136
325	1031	2131
326	1033	2127
327	1036	2124
328	1040	2122
329	1044	2120
330	1047	2116
331	1049	2112
332	1052	2108
333	1056	2106
334	1059	2103
335	1063	2100
336	1065	2097
337	1069	2094
338	1073	2093
339	1077	2091
340	1079	2087
341	1082	2083
342	1085	2079
343	1089	2076
344	1092	2074
345	1095	2070
346	1098	2066
347	1100	2062
348	1103	2058
349	1107	2057
350	1110	2053
351	1113	2049
352	1115	2045
353	1118	2040
354	1122	2039
355	1126	2037
356	1128	2033
357	1131	2029
358	1134	2026
359	1138	2024
360	1142	2022
361	1145	2018
362	1147	2014
363	1150	2009
364	1154	2008
365	1157	2005
366	1160	2001
367	1162	1997
368	1165	1993
369	1169	1990
370	1172	1988
371	1176	1985
372	1178	1981
373	1181	1977
374	1184	1974
375	1188	1972
376	1191	1969
377	1194	1965
378	1197	1961
379	1199	1957
380	1204	1956
381	1207	1953
382	1210	1949
383	1212	1945
384	1215	1941
385	1219	1940
386	1222	1937
387	1225	1933
388	1228	1928
389	1230	1925
390	1234	1923
391	1238	1920
392	1241	1916
393	1243	1912
394	1246	1909
395	1249	1905
396	1253	1904
397	1257	1902
398	1260	1898
399	1262	1894
400	1265	1890
401	1269	1888
402	1272	1885
403	1275	1881
404	1277	1876
405	1280	1873
406	1284	1871
407	1287	1868
408	1291	1866
409	1293	1861
410	1296	1858
411	1300	1855
412	1304	1853
413	1306	1849
414	1309	1845
415	1312	1841
416	1314	1837
417	1318	1836
418	1321	1832
419	1323	1828
420	1326	1824
421	1329	1820
422	1332	1817
423	1336	1815
424	1339	1811
425	1341	1807
426	1344	1804
427	1347	1800
428	1351	1799
429	1355	1796
430	1357	1792
431	1360	1789
432	1363	1786
433	1368	1784
434	1370	1780
435	1373	1776
436	1376	1772
437	1379	1769
438	1383	1768
439	1401	1783
440	1404	1780
441	1406	1775
442	1409	1772
443	1412	1768
444	1416	1767
445	1419	1763
446	1422	1759
447	1424	1755
448	1427	1751
449	1430	1748
450	1434	1745
451	1436	1741
452	1439	1737
453	1442	1734
454	1445	1730
455	1448	1728
456	1451	1724
457	1455	1722
458	1458	1718
459	1460	1714
460	1465	1713
461	1467	1709
462	1470	1705
463	1473	1701
464	1475	1698
465	1479	1694
466	1482	1692
467	1485	1688
468	1488	1685
469	1499	1691
470	1503	1688
471	1507	1686
472	1509	1682
473	1512	1678
474	1515	1674
475	1517	1671
476	1522	1669
477	1525	1665
478	1527	1661
479	1530	1658
480	1533	1654
481	1537	1651
482	1540	1649
483	1543	1645
484	1545	1641
485	1548	1637
486	1551	1634
487	1555	1632
488	1558	1628
489	1561	1624
490	1563	1621
491	1566	1617
492	1570	1615
493	1573	1612
494	1576	1608
495	1578	1604
496	1581	1600
497	1585	1597
498	1588	1595
499	1592	1592
500	1595	1588
501	1597	1585
502	1600	1581
503	1605	1579
504	1608	1576
505	1610	1572
506	1613	1569
507	1616	1565
508	1622	1564
509	1624	1561
510	1627	1557
511	1630	1553
512	1633	1550
513	1637	1547
514	1640	1544
515	1642	1540
516	1645	1537
517	1648	1533
518	1652	1531
519	1655	1528
520	1657	1524
521	1660	1520
522	1663	1516
523	1666	1513
524	1670	1510
525	1672	1507
526	1675	1503
527	1677	1499
528	1680	1496
529	1684	1493
530	1687	1490
531	1690	1486
532	1692	1483
533	1695	1479
534	1698	1476
535	1702	1474
536	1705	1470
537	1708	1466
538	1711	1463
539	1713	1459
540	1718	1457
541	1721	1454
542	1724	1450
543	1726	1447
544	1729	1443
545	1732	1440
546	1736	1438
547	1739	1434
548	1742	1431
549	1745	1427
550	1748	1424
551	1752	1421
552	1755	1418
553	1757	1415
554	1760	1411
555	1762	1407
556	1767	1405
557	1770	1402
558	1773	1398
559	1775	1395
560	1778	1392
561	1782	1389
562	1786	1386
563	1788	1382
564	1791	1379
565	1793	1375
566	1797	1372
567	1801	1369
568	1803	1366
569	1806	1363
570	1809	1359
571	1812	1356
572	1817	1354
573	1819	1350
574	1822	1347
575	1825	1343
576	1828	1340
577	1832	1338
578	1835	1334
579	1837	1330
580	1840	1327
581	1843	1324
582	1847	1321
583	1851	1318
584	1853	1315
585	1856	1311
586	1858	1307
587	1862	1305
588	1866	1302
589	1869	1299
590	1872	1295
591	1875	1292
592	1879	1289
593	1883	1287
594	1885	1283
595	1888	1279
596	1891	1276
597	1894	1273
598	1898	1270
599	1901	1267
600	1904	1264
601	1907	1260
602	1909	1257
603	1914	1255
604	1917	1251
605	1919	1247
606	1922	1244
607	1924	1241
608	1929	1238
609	1932	1235
610	1934	1231
611	1937	1228
612	1940	1225
613	1944	1222
614	1948	1219
615	1950	1216
616	1953	1212
617	1955	1209
618	1959	1205
619	1963	1203
620	1965	1199
621	1968	1196
622	1970	1192
623	1973	1189
624	1976	1186
625	1980	1183
626	1983	1179
627	1986	1176
628	1989	1173
629	1992	1170
630	1996	1167
631	1999	1163
632	2001	1160
633	2004	1157
634	2007	1153
635	2011	1150
636	2014	1147
637	2017	1144
638	2020	1141
639	2024	1138
640	2027	1135
641	2030	1132
642	2033	1128
643	2036	1125
644	2038	1122
645	2043	1119
646	2046	1116
647	2049	1113
648	2052	1109
649	2055	1106
650	2059	1104
651	2062	1101
652	2065	1097
653	2068	1094
654	2070	1090
655	2074	1087
656	2078	1085
657	2081	1081
658	2083	1078
659	2086	1074
660	2089	1071
661	2093	1069
662	2096	1065
663	2099	1062
664	2102	1059
665	2104	1055
666	2109	1053
667	2112	1049
668	2114	1046
669	2117	1042
670	2119	1039
671	2123	1036
672	2127	1033
673	2130	1030
674	2132	1026
675	2135	1023
676	2138	1020
677	2142	1017
678	2145	1014
679	2147	1010
680	2150	1007
681	2153	1004
682	2157	1001
683	2161	998
684	2164	995
685	2166	991
686	2169	988
687	2173	985
688	2176	982
689	2179	979
690	2182	975
691	2185	972
692	2189	969
693	2193	967
694	2196	963
695	2198	960
696	2201	957
697	2206	954
698	2213	952
699	2215	949
700	2218	946
701	2222	943
702	2225	940
703	2228	936
704	2231	933
705	2233	930
706	2237	927
707	2241	924
708	2244	921
709	2246	917
710	2249	914
711	2252	910
712	2256	908
713	2259	905
714	2262	901
715	2264	898
716	2267	895
717	2271	892
718	2274	888
719	2278	885
720	2280	882
721	2283	879
722	2287	876
723	2290	873
724	2293	869
725	2296	866
726	2298	863
727	2301	859
728	2305	857
729	2308	853
730	2310	850
731	2313	847
732	2316	843
733	2320	840
734	2324	837
735	2327	834
736	2329	831
737	2332	828
738	2336	825
739	2339	822
740	2342	818
741	2344	815
742	2347	812
743	2350	808
744	2355	806
745	2357	802
746	2360	799
747	2362	796
748	2365	792
749	2369	789
750	2372	786
751	2375	783
752	2377	779
753	2380	776
754	2384	773
755	2387	770
756	2390	767
757	2393	764
758	2396	761
759	2399	757
760	2403	755
761	2406	751
762	2409	748
763	2412	745
764	2414	741
765	2419	739
766	2422	735
767	2425	732
768	2428	729
769	2430	726
770	2435	723
771	2438	720
772	2441	716
773	2443	713
774	2446	710
775	2450	707
776	2453	704
777	2456	700
778	2458	697
779	2461	694
780	2464	691
781	2468	688
782	2471	685
783	2474	681
784	2477	678
785	2479	675
786	2483	672
787	2486	668
788	2489	665
789	2492	662
790	2494	659
791	2497	655
792	2501	653
793	2504	649
794	2507	646
795	2509	643
796	2512	639
797	2516	637
798	2519	633
799	2522	630
800	2524	627
801	2527	623
802	2530	620
803	2534	617
804	2537	614
805	2540	611
806	2543	608
807	2545	604
808	2550	602
809	2553	598
810	2555	595
811	2558	592
812	2560	589
813	2564	586
814	2568	582
815	2570	579
816	2573	576
817	2576	573
818	2578	569
819	2583	567
820	2585	563
821	2588	560
822	2590	557
823	2593	554
824	2597	550
825	2601	548
826	2604	544
827	2606	541
828	2609	538
829	2612	535
830	2616	532
831	2619	528
832	2621	525
833	2624	522
834	2627	519
835	2631	516
836	2634	513
837	2637	509
838	2639	506
839	2642	503
840	2645	500
841	2649	497
842	2652	494
843	2654	490
844	2657	487
845	2660	484
846	2664	481
847	2667	478
848	2670	474
849	2672	471
850	2675	468
851	2679	465
852	2682	462
853	2685	459
854	2687	455
855	2690	452
856	2693	449
857	2697	446
858	2700	443
859	2703	440
860	2705	436
861	2708	433
862	2712	430
863	2715	427
864	2718	424
865	2721	421
866	2724	417
867	2727	414
868	2731	411
869	2733	408
870	2736	405
871	2739	402
872	2748	399
873	2750	396
874	2753	393
875	2756	390
876	2758	386
877	2762	383
878	2766	380
879	2768	377
880	2771	374
881	2774	371
882	2778	368
883	2781	365
884	2784	361
885	2786	358
886	2789	355
887	2793	352
888	2796	349
889	2799	346
890	2801	342
891	2804	339
892	2807	336
893	2812	333
894	2814	330
895	2817	327
896	2820	323
897	2822	320
898	2827	317
899	2830	314
900	2832	311
901	2835	308
902	2838	304
903	2842	301
904	2845	298
905	2848	295
906	2850	292
907	2853	289
908	2856	285
909	2861	282
910	2863	279
911	2866	276
912	2868	273
913	2871	270
914	2875	267
915	2895	265
916	2897	262
917	2900	259
918	2902	255
919	2905	252
920	2909	249
921	2912	246
922	2915	243
923	2917	239
924	2920	236
925	2924	233
926	2928	230
927	2930	227
928	2933	224
929	2936	220
930	2938	217
931	2943	214
932	2945	211
